run,fixture,strategy,wallclock_s,success,winning_prover
1,coq_trivial,sequential,0.308,true,Coq
1,coq_trivial,parallel_bestof,1.032,true,Coq
1,coq_trivial,parallel_speculative,2.538,true,Coq
1,lean_trivial,sequential,0.849,true,Lean
1,lean_trivial,parallel_bestof,2.908,true,Lean
1,lean_trivial,parallel_speculative,1.620,true,Lean
1,idris2_trivial,sequential,2.002,false,—
1,idris2_trivial,parallel_bestof,1.446,false,—
1,idris2_trivial,parallel_speculative,0.842,false,—
2,coq_trivial,sequential,0.313,true,Coq
2,coq_trivial,parallel_bestof,0.846,true,Coq
2,coq_trivial,parallel_speculative,1.072,true,Coq
2,lean_trivial,sequential,0.520,true,Lean
2,lean_trivial,parallel_bestof,0.740,true,Lean
2,lean_trivial,parallel_speculative,0.633,true,Lean
2,idris2_trivial,sequential,1.201,false,—
2,idris2_trivial,parallel_bestof,0.749,false,—
2,idris2_trivial,parallel_speculative,0.731,false,—
3,coq_trivial,sequential,0.446,true,Coq
3,coq_trivial,parallel_bestof,0.724,true,Coq
3,coq_trivial,parallel_speculative,0.634,true,Coq
3,lean_trivial,sequential,0.510,true,Lean
3,lean_trivial,parallel_bestof,0.733,true,Lean
3,lean_trivial,parallel_speculative,0.636,true,Lean
3,idris2_trivial,sequential,1.216,false,—
3,idris2_trivial,parallel_bestof,0.744,false,—
3,idris2_trivial,parallel_speculative,0.628,false,—
4,coq_trivial,sequential,0.315,true,Coq
4,coq_trivial,parallel_bestof,0.741,true,Coq
4,coq_trivial,parallel_speculative,0.620,true,Coq
4,lean_trivial,sequential,0.628,true,Lean
4,lean_trivial,parallel_bestof,0.728,true,Lean
4,lean_trivial,parallel_speculative,0.624,true,Lean
4,idris2_trivial,sequential,1.088,false,—
4,idris2_trivial,parallel_bestof,1.029,false,—
4,idris2_trivial,parallel_speculative,0.743,false,—
5,coq_trivial,sequential,0.227,true,Coq
5,coq_trivial,parallel_bestof,0.632,true,Coq
5,coq_trivial,parallel_speculative,0.640,true,Coq
5,lean_trivial,sequential,0.428,true,Lean
5,lean_trivial,parallel_bestof,0.658,true,Lean
5,lean_trivial,parallel_speculative,0.836,true,Lean
5,idris2_trivial,sequential,1.107,false,—
5,idris2_trivial,parallel_bestof,0.627,false,—
5,idris2_trivial,parallel_speculative,0.636,false,—
